event_id,person_id,datetime,city,area,latitude,longitude,source,confidence
LOC00001,P0035,2022-12-08 04:54:25,Hyderabad,Sector 36 / Station,27.829918,90.488651,Immigration,Medium
LOC00002,P0091,2022-03-27 18:46:00,Jaipur,Sector 45 / Station,25.98562,73.020288,CCTV,High
LOC00003,P0090,2024-03-11 07:08:21,Jaipur,Sector 29 / Airport,24.833217,72.062624,Border Check,High
LOC00004,P0005,2022-07-27 09:32:39,Nagpur,Sector 37 / Warehouse,9.658711,79.881665,Hotel Register,High
LOC00005,P0011,2022-05-21 02:47:03,Jaipur,Sector 42 / Warehouse,15.555625,96.585485,Border Check,High
LOC00006,P0010,2023-12-10 12:48:56,Lucknow,Sector 47 / Border,31.531771,86.906527,Immigration,Low
LOC00007,P0069,2022-08-03 11:01:43,Indore,Sector 21 / Airport,32.895726,78.487116,Border Check,High
LOC00008,P0071,2022-08-16 03:09:22,Mumbai,Sector 19 / Border,8.096156,94.991556,Immigration,Low
LOC00009,P0025,2024-04-22 03:15:22,Chennai,Sector 42 / Market,33.174829,76.070697,CCTV,Low
LOC00010,P0053,2024-02-09 15:07:41,Chennai,Sector 36 / Warehouse,18.383848,71.76698,Immigration,Medium
LOC00011,P0025,2023-07-16 22:07:12,Pune,Sector 6 / Airport,31.697466,94.234595,Border Check,Medium
LOC00012,P0071,2022-01-09 14:53:08,Bhopal,Sector 50 / Market,30.098196,80.778629,Immigration,Medium
LOC00013,P0094,2023-11-14 16:17:21,Kolkata,Sector 35 / Airport,9.46265,71.832654,Cell Tower,Low
LOC00014,P0049,2022-01-06 04:06:35,Bhopal,Sector 4 / Border,28.453643,93.352543,Border Check,Medium
LOC00015,P0023,2023-08-28 06:48:46,Jaipur,Sector 47 / Airport,14.869742,75.85911,CCTV,High
LOC00016,P0052,2023-05-16 09:41:09,Jaipur,Sector 5 / Warehouse,30.52895,92.671266,Immigration,High
LOC00017,P0002,2022-08-02 23:17:18,Pune,Sector 13 / Warehouse,21.228748,68.562341,Immigration,Medium
LOC00018,P0022,2023-04-01 23:22:17,Kolkata,Sector 12 / Station,20.425342,74.910683,Border Check,Medium
LOC00019,P0073,2023-04-13 04:19:33,Indore,Sector 27 / Hotel,24.704509,82.781199,Border Check,High
LOC00020,P0021,2024-05-19 07:21:01,Kolkata,Sector 12 / Station,20.076614,80.932415,Cell Tower,High
LOC00021,P0025,2023-06-15 08:31:55,Hyderabad,Sector 8 / Station,33.050797,93.718966,Hotel Register,Low
LOC00022,P0088,2023-05-18 23:21:08,Surat,Sector 11 / Station,29.292055,92.62921,Border Check,High
LOC00023,P0005,2022-11-09 00:40:09,Surat,Sector 14 / Warehouse,34.207946,71.852953,CCTV,High
LOC00024,P0029,2024-04-27 17:30:40,Bhopal,Sector 14 / Hotel,16.146191,94.660458,Border Check,Medium
LOC00025,P0005,2022-02-25 04:06:20,Nagpur,Sector 43 / Warehouse,19.107008,83.748133,Cell Tower,Low
LOC00026,P0054,2022-10-14 20:48:12,Ahmedabad,Sector 27 / Airport,21.709336,89.191541,Hotel Register,High
LOC00027,P0078,2023-05-07 17:44:56,Ahmedabad,Sector 21 / Warehouse,11.083748,74.375746,Hotel Register,Medium
LOC00028,P0041,2022-11-25 07:44:10,Surat,Sector 39 / Border,21.446019,73.506801,Hotel Register,Medium
LOC00029,P0020,2022-08-03 02:32:41,Lucknow,Sector 35 / Hotel,25.74823,71.154792,Cell Tower,Low
LOC00030,P0030,2024-04-13 09:11:50,Hyderabad,Sector 33 / Market,24.286966,70.824688,Hotel Register,High
